Wallet,Points,Community
0x2A18FE3a72531752e43b9C2c139886d6be9F9B4c,1000,Astro Society ,
0x947B545B2aBf42374bbA5b6f2Ca0249e987d6e0E,1000,Astro Society ,
0x18B516aE20AdDCE8b0b0C2011C1E26ca95A91Ab8,1000,Astro Society ,
0x83581aF980043768E5304937372d73DBaF0CfAFa,1000,Astro Society ,
0xd32916E642174D8CCD6938b77AC2ba83D6C0CaCc,1000,Astro Society ,
0x871984c1A8d6Fd3ab3DcC0C651b74a0Ca6263247,1000,Astro Society ,
0x50fC5751F76e56851E044FC2173AEEc636BB4d8E,1000,Astro Society ,
0xe1F2856a78e0037c79888496D1c13A934eD30372,1000,Astro Society ,
0x88827AaB81D0AfC61994221Dc54c5D795D0eA6d4,1000,Astro Society ,
0xd1262AeC709E0a0BE6bA3e738E71338F2691b4F2,1000,Astro Society ,
0x4b1D61e2E9655Eae99D090fd42ba11dA7F85B52F,1000,Astro Society ,
0xc30EAd1efd3e2d9F329F3faE8Aa2e08F3CC923Ad,1000,Astro Society ,
0x67cc642f32D724724765DBC40472a3d520b9e02A,1000,Astro Society ,
0xD2D8caF7fd579fE21B0c977a8977f57f58e41C48,1000,Astro Society ,
0xA26Eb404eD5dDeB774fEa8b32d199aF73fF2BbC8,1000,Astro Society ,
0x3F19f1215FD08543EB533747064041eA4F852230,1000,Astro Society ,
0x20FAB53c2ea8e5CC89346aB8172Aa8c4fe443ab1,1000,Astro Society ,
4CGcoKFahgvi3nXwaV8Yiq6donKwaprZ8uFPmKCHg9Vo,1000,Astro Society ,
0x21689D260d5A6c9b384138c27717309Df93663bC,1000,Astro Society ,
0x9294FF89BB5f22422e41598152dB9A6bD13C45F4,1000,Astro Society ,
0x4B078a6A7026C32D2D6Aff763E2F37336cf552Dd,1000,Astro Society ,
0xd76db1b83a1d4846c4d984231b9bbfc33be19996,1000,Astro Society ,
0x52A9d5354C4b89d4244a9555155Bf64e5da6d723,1000,Astro Society ,
0xEf914C6FE9e427D2333a0FFB2BdA07E86afAAE2c,1000,Astro Society ,
0x4AbEC47f45E60Bf48b9D0B31354fcb76Be51574A,1000,Astro Society ,
0x58367d36c2E4EFf07A54217e212Dc18559D0373f,1000,Astro Society ,
0xBD293387Ef07bb8972382bDd202cDbc94Cec5A16,1000,Astro Society ,
0xeFC143B5638469E50322bBF7c83F787518063A56,1000,Astro Society ,
0xcacB2bEd1259f8e3853b89bB4d407B6C3ffaAa69,1000,Astro Society ,
Wallet address,1000,Astro Society ,
0x925020bf82437c3d37b7Ea6a70Fb6a70D3983304,1000,Astro Society ,
0x7cA4b2608eE8C09b9AB3B6E08D4c3aeFBf3dbD61,1000,Astro Society ,
0xD2D8caF7fd579fE21B0c977a8977f57f58e41C48,1000,Astro Society ,
0xA3a16cc35eAC85d2D5623D73959ca3757089Fb57,1000,Astro Society ,
0xe46537c85c8265CD6e9B0891Cbe91d24B21a2b5e,1000,Astro Society ,
0x3efA8A1CC7ee98FBf33816B4dc5dec3AC034f364,1000,Astro Society ,
0xA0a9BFA19586E8876303f4722304cC46ec4a251B,1000,Astro Society ,
0x1f4db11134Cd3A325cDE19B65E53F5DA567282AB,1000,Astro Society ,
0x7d538E10cB963928Ad724Cd1D462e34f1961e8Cc,1000,Astro Society ,
0xdF7c36Fd5DA6aff40c34FCb1531b918c0320c335,1000,Astro Society ,
0xC56E9120D1c14cE195e7FC3d22c865449004c098,1000,Astro Society ,
0x07EB2fbeb6508de3952b98b0A554608955D94734,1000,Astro Society ,
0xc07A5DD4860c6935B49F79738285dd1877a92ce2,1000,Astro Society ,
0x6deC811812CF339ae9279C6d745527cCaCFFD79C,1000,Astro Society ,
0x1F0A72F47fe5dB466ca14e244B0B43A3817C15c7,1000,Astro Society ,
0xEa9F8D4a2349EC791d50C280B7BCf28E837ce4F3,1000,Astro Society ,
0xa1D84284888a2D75E5cAb09c4A4d7D51e295D9bB,1000,Astro Society ,
0x83faAC6164e5Ddd3deb0C9Ac1abF9685468fdB9F,1000,Astro Society ,
0x55C8ceEe6a6dbCc2e5B117E62e9bD711d33209B9,1000,Astro Society ,
0x3e34d2593DE58dbf1033F97Aae125231dC8B18ab,1000,Astro Society ,
0xc76af2ae85524ae8503Eaa0a138Eb636eAF7CAf7,1000,Astro Society ,
0x3988601CAB89bb6a6A68596e9D0370b96AE50E83,1000,Astro Society ,
0x51a0469Aa99BB22278F18fc55982D1D20Fa5D441,1000,Astro Society ,
0xf489e2Ff3AB3773FFCe99De0177C9B8e32cED8C3,1000,Astro Society ,
0xb1327Af50E1F5F25Bc4307f2fdB1E780D615F9dB,1000,Astro Society ,
BATg8X5ng6WoVKoC4Tu7xCuKQaXLwWmrmFRRm2mJBUvr,1000,Astro Society ,
0xA65ce8E92767da8790314728E830b034bFb78a51,1000,Astro Society ,
0xDD71a1642eC6626F3Be30e2cc90D56fB76d94956,1000,Astro Society ,
0x838a808020173e82Beb72b0f1130a1aE42D357a4,1000,Astro Society ,
0x3aFA66f02a1CD3D5EcD0fc60A245c5C80BCa7372,1000,Astro Society ,
0x6E8811B73Dc2C13e96401a96399350490E84b165,1000,Astro Society ,
0xEeC8357d902FA58Bf2283f6074F1ed013498219E,1000,Astro Society ,
0x8EeD54fb7ba85807A200f41a27d5D806365FC92B,1000,Dinero ,
0xbebb6b6829e419a97ca594a404c17c1ba0727cbb,1000,Dinero ,
0xba1c67b35027a04a9090ed035f55b78667c34e34,1000,Dinero ,
0xe01fe26a47be1177b4f91b4d3fa152d8e38dde75,1000,Dinero ,
0x33fce56efa45453fcbfa4aa1aba5b4ed5d110d67,1000,Dinero ,
0xf02dfb7dd929d30d76d9a62e052a2c3e8fd89de2,1000,Dinero ,
0x672becd97b031b2f6752a353a20ac38c0afa0822,1000,Dinero ,
0x7913b9e438eb76d8c56dcb6c7ba62b0fbe1c961e,1000,Dinero ,
0x6ccb7c2a7bd8c0388402d8f5d4ca68caa9277fe6,1000,Dinero ,
0xaacf102ac1f68a88aec1646cb12600559ac0b9a6,1000,Dinero ,
0xcfe1dbeffa92e43933cf9d5ab774c79fc437b679,1000,Dinero ,
0x714e075198636956785b4cc08be1c70d9361c445,1000,Dinero ,
0xac382695596be82c56f782d8e873b0eca7147bbd,1000,Dinero ,
0xf1e19bae30e0b6c4aa434a401fbd378cd259d606,1000,Dinero ,
0xb08c12e0f482157e835fb85f0f46e27d45fc8e23,1000,Dinero ,
0xd2ebef323370f2b476a1b7ef9f90dadbc764520d,1000,Dinero ,
0x3cab4056e9ef0c90b5d4f58cec0c1be905c22365,1000,Dinero ,
0x4c21b3a55bc4da82683f4820cedd1bd288d24d1b,1000,Dinero ,
0x8ecab2139eb23126cdd81bc1eb397f67df88e11e,1000,Dinero ,
0x2350bc2b59d104bca6201b66edd4d87a0b7b4af9,1000,Dinero ,
0x138643cd365551ec72b3578340cebe3172362ff9,1000,Dinero ,
0x6fd7f750e47cb95b7caaac219a73379a316e764d,1000,Dinero ,
0xf48467af77851b28aadd8a678c2c4cf182bd7d66,1000,Dinero ,
0xde68a3155d64b5f6b8fad0e4e5cf4fc17ce5346d,1000,Dinero ,
0xdfb55a80f42cab166d4eac8725793c45ba1ca760,1000,Dinero ,
0x0d5902da80387a65ea99d9e07047e6b50724f09a,1000,Dinero ,
0xa6c0fb4936e8e976109f93aaaef7dd931db7d042,1000,Dinero ,
0xddcd3c49a3b3d5dc80908ee3a05da99e2f165534,1000,Dinero ,
0xd51819fc5aef58c9f93a746875a56a07fc2e7ef9,1000,Dinero ,
0x4ee28867ff7d703ed9a12e4520a0bd002943ef03,1000,Dinero ,
0x1d94db3f268755f3fc0d7b2ba8793b528aefc0fa,1000,Dinero ,
0xad821687dcbe37a06b193cc96d49324b168b0a2a,1000,Dinero ,
0x686b70559f4d8ed691df8e778fc6f4bb3309ca5e,1000,Dinero ,
0x578493d84d3ad33eb6ca06c4c9ce8ab8b3dff4f7,1000,Dinero ,
0x8d0b27592f53adecd5d0aae62ca0d6dc33b77c2b,1000,Dinero ,
0x4719d88af1443f7204d4d0d37db814afbc4dfe84,1000,Dinero ,
0x13bae970e8ad7addcdebaf27c4ed5c83c969720a,1000,Dinero ,
0xfe6bfdd376b2afdfb02314c9f5739e164796e780,1000,Dinero ,
0x8f7831c08656dd68f755e42ee8a9c610b6b6e4bc,1000,Dinero ,
0xc21e2ff4c2e6372ad02904737ed9f23914f6c1bf,1000,Dinero ,
0xb754e025c7d9e3904690a8403480e8f392eaa462,1000,Dinero ,
0xa113daac54a15d6875a1ee6cc003e90725be22e0,1000,Dinero ,
0x5d89fa972e2e9fe1b1475ddd516d321c228ff0ee,1000,Dinero ,
0xdf191f7af296bd395b34839171e6360b67757606,1000,Dinero ,
0x48557e3a0fd1a9b2e4e866aa81e9e2b9f8133b53,1000,Dinero ,
0xc88d63bd194c012e609855e75d71d8ef5d372d69,1000,Dinero ,
0xba6291f5146bbc8b3bf0014fdf84fb61f7694ea6,1000,Dinero ,
0xca55b52044260712a1a4eacb865bb2effec54048,1000,Dinero ,
0xabc5db5fab7dde572d02c5b9c205414da6dd99a8,1000,Dinero ,
0xb3974204cffff0f3925d40a9cc474109ff4cf4dd,1000,Dinero ,
0x5ca6b97e6d367cf709b769413e775e783afce740,1000,Dinero ,
0x6d348cc1a49583c31a255781a28fe04735c3cd46,1000,Dinero ,
0xa9e348fddb5c4c62f01a5511bdc4718542ad8149,1000,Dinero ,
0x9f21015d651db1658b62dd9a5c9a689fffef37a6,1000,Dinero ,
0xba20dbecb6f867a6ae11dfd2000961941464b0c5,1000,Dinero ,
0x12534417f740215f3ac7b387e98b644ae4ebd3ac,1000,Dinero ,
0x797b54911ffde804020648b9364e46eb8424f61d,1000,Dinero ,
0x4d2f7c182f1bcd8635dee6dedbcb62fdc702ed33,1000,Dinero ,
0xa1757a8f79b047da20fc463c86c20e730ec9ba21,1000,Dinero ,
0xee2190d17cd2bc75a7af9c589834fc4f4b6cc003,1000,Dinero ,
0x517bd8c260d6de108d0664ec0d5c2ad32080422a,1000,Dinero ,
0xc4fb405d801c9deb3f3f716df0d5fb22c149d9b0,1000,Dinero ,
0x010a2788135227e21b462a65b9b02042e6c52472,1000,Dinero ,
0x10a1cbd34d3e04cc67546b13107ce11790b26743,1000,Dinero ,
0x8334f5d9832e875807e13fdb55a4787a8aeb9bb9,1000,Dinero ,
0x34ab2ea5992be50c9a1058e59e206b5c60730e88,1000,Dinero ,
0x79ddf4482a442cd8bacc812f26acc3e8575458a6,1000,Dinero ,
0x56d908f60a3c4d6bafc7fae3bedb6a96eedc744e,1000,Dinero ,
0xfa9d5057531b01a6f419c73cf7b64576a3bb4b58,1000,Dinero ,
0xc0746536af263e7c263772b53f1e7a6f5673c583,1000,Dinero ,
0xbdd95667d8b1e036ff896484cd7dd078f7259aa8,1000,Dinero ,
0x2F4349AA328c031FDCc2D62617620eB4d393bB1a,1000,Dinero ,
0x5d319D775E11a90028b3218b0329915f1B233cf9,1000,Dinero ,
0xB5a30239d0D97c20E859e4D4ac351c5Aba495243,1000,Dinero ,
0x0528Bb04257729f633Cfe065D16686EB538c437c,1000,Dinero ,
0xB54bDEbCd9A7D27487A4De4D7F70788114Af71bC,1000,Dinero ,
0x2Df3F0C4849EA7424C13b87070A1CCAbe00E6F46,1000,Dinero ,
0x461e22B6d69f2b77AE447fE78455A8464BB75c6d,1000,Dinero ,
0x6407895057BF3e8E13E95621Be5a34Dbe8d541a7,1000,Dinero ,
0x837c1F7D49b0357C1bDd40b00D76Dc744f97EC0A,1000,Dinero ,
0x68D0Be36e5Dd8C0a6D6cBC75Cb9b6b145aFabA60,1000,EAT,
0xed9246f71c3ecEd1BAc4cff88aE7972F78Da30D9,1000,EAT,
0xe0F9B8973806822069a6278bE05c8aB2bb793454,1000,EAT,
0x4Eb859Fc83977267fbb6aE1066A51FB4c9086C28,1000,EAT,
0xb320d69fE8a77DE939EcE6D91C805159fa8Bb14E,1000,EAT,
0x758BF7889DDeF7E96B4296d32a086c66d853807c,1000,EAT,
0x300569Ff3bD68C0a7c34f2B35a0aD0b4B727Fc96,1000,EAT,
0x71AFE5CD6375f011958c3A10Bee3f7629BD68329,1000,EAT,
0xc1876bb98Df09206a7929350e40eb0b970b2C05A,1000,EAT,
0xC112EC29825deDb8C5f9c1ea7a2705302C36E372,1000,EAT,
0xB2095F49c36168434E3D07f8935b611D1fC94DDb,1000,EAT,
0x5EC53a549466E6a7bfd3bB63a0bC23492E57793B,1000,EAT,
0xCd8c3E65a3eeAcC227b91FD67C07808aAb6c3a76,1000,EAT,
0xDE8D5aE4c54e4De86AFeF3B9FE35B40D88194d61,1000,EAT,
0xe5A9426664dD1bA7206e24e6F4EbA77CFEb86C50,1000,EAT,
0xFBD81FDB85fAEc969684789953861d058793E083,1000,EAT,
0x826D3aA4115ce8EA287E7838A40F91aC8D46a166,1000,EAT,
0xb193bA2A0eeF6acFff18391c550F0cFFcf36dc27,1000,EAT,
0x3bBE15877DDAF514895Cb7E428aEfC855A756ce0,1000,EAT,
0x91FC25EaabDA8282eBcDfDCD1e3963bb556462e9,1000,EAT,
0xDEE89323fbDA8b5eD0a4143e4D514Df4cFF6971E,1000,EAT,
0x56f9f1efa72E1E4BA56E74574d45C5A43624960A,1000,EAT,
0x5c06b542bC45611E77AfD99d26842203A6306d3B,1000,EAT,
0xb978Fa839074D18953a32f4c46eDAeb87c3A1D9b,1000,EAT,
0xAE71beeC18d616d5625D61d7932d6e681eFAEEA1,1000,EAT,
0x457C023050Ec8cC0633431F3f653877b0a9EB154,1000,EAT,
0x0d95Da3aDC4c27395c0c0bb55332a0B854464464,1000,EAT,
0x3efA8A1CC7ee98FBf33816B4dc5dec3AC034f364,1000,EAT,
0x692102FE52206c21a30fBD85b50BE76c62C87973,1000,EAT,
0x309ebf2a79064846d5b01efd67f39559c680eef5,1000,EAT,
0x3495b719e33e18D2264425380397fa5425c1e975,1000,EAT,
0x2fa32d438fee6e2c477fe2b02bd2fd43ab96a55e,1000,EAT,
0x3033E9d24ea7da9b0327034F3190eb05Da721f7F,1000,EAT,
0xB4673fb771d91Ce0583aa9feA284c1265571a649,1000,EAT,
0xA4DC33bf92Bd8f54E47DadEd353431E3d770b119,1000,EAT,
0x8f3187F40DE1AE4C8D17787fd9069E27A0b51130,1000,EAT,
0xA424343B8910DCCC6e44492911a17b53434ae998,1000,EAT,
0xe3bca6755abdA45f3f1bA4815103235400eeAf63,1000,EAT,
